                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.80397,                0.55322,                 1.0077,                0.97741,                0.90664,                0.95318,                0.82086,                0.53099,                0.34921,                0.84464,              0.0079408,              0.0079408,              0.0079408
                    107,                0.79585,                0.55223,                 1.0028,                0.97385,                0.91141,                0.95413,                0.82307,                0.52697,                0.35367,                0.84267,               0.007921,               0.007921,               0.007921
                    108,                0.79058,                0.54794,                 1.0009,                0.97407,                 0.9102,                0.95395,                0.82334,                0.52422,                0.34794,                0.84088,              0.0079012,              0.0079012,              0.0079012
                    109,                0.79983,                0.55186,                 1.0025,                0.97302,                0.90828,                0.95361,                0.82384,                0.52439,                0.34555,                0.84046,              0.0078814,              0.0078814,              0.0078814
                    110,                0.79234,                 0.5509,                 1.0027,                0.97466,                0.91085,                0.95396,                0.82589,                0.52146,                0.34224,                0.83841,              0.0078616,              0.0078616,              0.0078616
                    111,                0.80164,                0.56133,                 1.0052,                0.97374,                0.91211,                0.95454,                0.83018,                0.51757,                0.33753,                0.83584,              0.0078418,              0.0078418,              0.0078418
                    112,                0.79563,                0.55322,                 1.0034,                0.97836,                0.90968,                0.95528,                 0.8314,                0.51636,                0.33989,                0.83487,               0.007822,               0.007822,               0.007822
                    113,                0.78469,                0.54314,                0.99505,                0.97208,                0.91597,                0.95618,                0.83193,                0.51418,                0.33849,                0.83366,              0.0078022,              0.0078022,              0.0078022
                    114,                0.79716,                0.55152,                 1.0033,                 0.9824,                0.90909,                0.95595,                0.83141,                0.51468,                0.34073,                0.83365,              0.0077824,              0.0077824,              0.0077824
                    115,                0.79021,                0.55344,                 1.0033,                0.98102,                0.91251,                0.95644,                0.83329,                0.51264,                0.34333,                0.83263,              0.0077626,              0.0077626,              0.0077626
                    116,                0.79338,                 0.5506,                0.99866,                0.97949,                0.91229,                0.95665,                0.83423,                0.50888,                0.33834,                 0.8316,              0.0077428,              0.0077428,              0.0077428
                    117,                 0.7856,                0.53812,                0.99509,                0.98192,                0.91193,                0.95679,                0.83529,                0.50686,                0.33314,                0.83067,               0.007723,               0.007723,               0.007723
                    118,                0.77528,                0.53328,                0.98886,                0.97944,                0.91337,                0.95706,                0.83616,                0.50675,                0.33206,                0.83005,              0.0077032,              0.0077032,              0.0077032
                    119,                0.78291,                0.54364,                0.99531,                0.98083,                0.91508,                0.95781,                0.83733,                0.50361,                0.32935,                0.82875,              0.0076834,              0.0076834,              0.0076834
                    120,                0.77451,                0.53612,                0.99366,                 0.9804,                0.91654,                0.95846,                0.83953,                0.50034,                0.32545,                0.82763,              0.0076636,              0.0076636,              0.0076636
                    121,                0.78159,                 0.5306,                0.99103,                0.98017,                0.91674,                 0.9588,                0.83975,                0.49814,                0.32691,                0.82646,              0.0076438,              0.0076438,              0.0076438
                    122,                0.77616,                0.53241,                0.99363,                0.98103,                0.91424,                0.95906,                0.84072,                0.49755,                0.32831,                0.82603,               0.007624,               0.007624,               0.007624
                    123,                0.77832,                0.53798,                0.99314,                0.98282,                  0.916,                0.95924,                0.84162,                0.49555,                0.32694,                0.82491,              0.0076042,              0.0076042,              0.0076042
                    124,                0.78144,                0.53941,                0.99347,                0.98137,                0.91574,                0.95979,                0.84286,                0.49428,                0.32766,                0.82378,              0.0075844,              0.0075844,              0.0075844
                    125,                0.76412,                0.52647,                 0.9855,                 0.9825,                0.91692,                   0.96,                0.84428,                 0.4923,                0.32634,                0.82246,              0.0075646,              0.0075646,              0.0075646
                    126,                0.77628,                0.53348,                0.99202,                0.98084,                0.91845,                0.96041,                0.84551,                 0.4898,                0.32568,                0.82135,              0.0075448,              0.0075448,              0.0075448
                    127,                0.76647,                0.52661,                0.98755,                0.98294,                0.91853,                0.96086,                0.84632,                0.48848,                0.32512,                0.82062,               0.007525,               0.007525,               0.007525
                    128,                0.76671,                0.52512,                0.99028,                0.98196,                0.91866,                0.96119,                0.84741,                0.48607,                0.32763,                0.81977,              0.0075052,              0.0075052,              0.0075052
